HUC_12	HU_12_NAME	BIN	CROSSED	y	x
20301010304	Stone Hill River	2224900	BEAVER DAM CREEK	41.245989	-73.668979
20301010103	Cedar Pond Brook	1068890	LAKE TIORATI BRK	41.249747	-74.041401
20301010103	Cedar Pond Brook	5521482	TIORATI BROOK	41.250255	-74.048316
20200070201	Upper Wawayanda Creek	2223510	LONG HOUSE CREEK	41.252983	-74.307646
20301010103	Cedar Pond Brook	5521540	TIORATI BROOK	41.251646	-74.064171
20301010103	Cedar Pond Brook	1068900	STILLWATER CREEK	41.253102	-74.044097
20301010304	Stone Hill River	1074580	MARY'S BROOK	41.24957	-73.677977
20301030201	Upper Ramapo River	3345040	LIT DAM LAKE OUTL	41.255713	-74.184432
20200070201	Upper Wawayanda Creek	2223460	WAWAYANDA CREEK	41.256972	-74.354515
20200070201	Upper Wawayanda Creek	2265630	WAWAYANDA CREEK	41.257265	-74.358451
20200070201	Upper Wawayanda Creek	3345200	LONG HOUSE CREEK	41.257056	-74.306886
20301010304	Stone Hill River	5501009	BEAVER DAM CREEK	41.251535	-73.676505
20200070201	Upper Wawayanda Creek	2223470	LONG HOUSE CREEK	41.257778	-74.307591
20301010105	Furnace Brook-Hudson River	2265880	TRIB FURNACE BRK	41.25809	-73.887414
20301010307	Bailey Brook-Croton River	2262430	NEW CROTON RESVOR	41.259443	-73.841911
20301010303	Cross River	3348910	CROSS RIVER	41.258409	-73.566071
20301010303	Cross River	3348920	CROSS RIVER	41.258944	-73.576973
20301010303	Cross River	3364970	CROSS RIVER	41.260202	-73.601987
20301010303	Cross River	3358630	CROSS RIVER	41.261156	-73.598958
20301010303	Cross River	1037420	CROSS RIVER RESER	41.261527	-73.614707
20301010303	Cross River	1023440	Trib. Cross River	41.262523	-73.615163
20200070201	Upper Wawayanda Creek	2223450	WAWAYANDA CREEK	41.269248	-74.327412
20301010303	Cross River	1023430	CROSS RIVER	41.265003	-73.676549
20301010303	Cross River	2265730	CROSS RIVER SPILL	41.266349	-73.664506
20301010105	Furnace Brook-Hudson River	3358670	LOUNSBURY POND	41.270496	-73.92353
20301010307	Bailey Brook-Croton River	1023410	MUSCOOT RESERVOIR	41.269003	-73.699671
20200070203	Upper Pochuck Creek	3345300	POCHUCK CREEK	41.275386	-74.471851
20301030201	Upper Ramapo River	5514229	OTTER CREEK	41.273579	-74.151256
20301030201	Upper Ramapo River	3345030	RAMAPO RIVER	41.275427	-74.152784
20301010307	Bailey Brook-Croton River	1036150	MUSCOOT RESERVOIR	41.271582	-73.712753
20301010303	Cross River	1023450	WACCABUC RIVER	41.275315	-73.578357
20200070207	Lower Pochuck Creek-Wallkill River	3344840	WALLKILL RIVER	41.288017	-74.53466
20200070203	Upper Pochuck Creek	3345260	POCHUCK CREEK	41.287756	-74.473994
20301010305	Muscoot River	2265740	HALLOCKS MILL BRK	41.284502	-73.774117
20301010305	Muscoot River	3348530	MILL BROOK	41.285856	-73.765892
20301010307	Bailey Brook-Croton River	1023390	HUNTER BROOK	41.290791	-73.834689
20301010303	Cross River	2265690	TRUESDALE LK OTLT	41.287661	-73.557071
20200080403	Cromline Creek	3344270	TROUT BROOK	41.295373	-74.24091
20200080504	Popolopen Creek	5521440	QUEENSBORO BROOK	41.295025	-74.059609
20200070207	Lower Pochuck Creek-Wallkill River	3345150	POCHUCK CREEK	41.297919	-74.470448
20301010307	Bailey Brook-Croton River	1078630	HUNTER BROOK	41.295196	-73.829183
20301010302	Plum River-Croton River	1037970	MUSCOOT RESERVOIR	41.297608	-73.681566
20200080403	Cromline Creek	3344250	TROUT BROOK	41.302763	-74.241421
20301010302	Plum River-Croton River	2265450	MUSCOOT CROTN RES	41.298857	-73.695137
20200080504	Popolopen Creek	5521420	QUEENSBORO BROOK	41.303141	-74.038828
20301010307	Bailey Brook-Croton River	1077712	HUNTER BROOK	41.303089	-73.823989
20200080504	Popolopen Creek	1068940	QUEENSBORO BROOK	41.305622	-74.035833
20200080403	Cromline Creek	3344230	TROUT BROOK	41.307317	-74.249133
20301010101	Peekskill Hollow Creek	1050450	PEEKSKILL HOL CRK	41.305099	-73.924243
20301010302	Plum River-Croton River	1077550	MUSCOOT RES OUTLE	41.302963	-73.674853
20200070204	Quaker Creek	2270990	Trib.QUAKER CREEK	41.308958	-74.36133
20301010302	Plum River-Croton River	1036160	PLUM BROOK	41.304204	-73.698016
20301030201	Upper Ramapo River	1014020	RAMAPO RIVER	41.310088	-74.142898
20200080504	Popolopen Creek	5521450	QUEENSBORO BROOK	41.310765	-74.024261
20200070207	Lower Pochuck Creek-Wallkill River	3344810	WALLKILL RIVER	41.314943	-74.490382
20301010102	Annsville Creek	1005160	ANNSVILLE CREEK	41.313422	-73.929483
20301010101	Peekskill Hollow Creek	3348430	PKSKL HOLLOW BK	41.314232	-73.9088
20200070206	Rutgers Creek	3344730	RUTGERS CREEK	41.318749	-74.585818
20200070206	Rutgers Creek	3344870	RUTGERS CREEK	41.321961	-74.577433
20301010101	Peekskill Hollow Creek	3348420	PKSKL HOLLOW CRK	41.317983	-73.905393
20200070206	Rutgers Creek	3344820	RUTGERS CREEK	41.32373	-74.568585
20200080504	Popolopen Creek	1068830	LAKE TEATA SPILLW	41.323085	-74.076412
20200080504	Popolopen Creek	1007150	POPOLOPEN CREEK	41.323657	-73.989786
20200070204	Quaker Creek	3345230	QUAKER CREEK	41.32688	-74.406164
20200070204	Quaker Creek	3345220	QUAKER CREEK	41.32747	-74.415838
20301030201	Upper Ramapo River	1040520	TRIB RAMAPO RIVER	41.326396	-74.168017
20301010302	Plum River-Croton River	3365040	PLUM BROOK	41.322623	-73.710325
20301010305	Muscoot River	5524490	MUSCOOT RIVER	41.323691	-73.757884
20301010102	Annsville Creek	2262420	CORTLANDT LAKE CK	41.32545	-73.91399
20200080405	Woodbury Creek	2003360	WOODBURY  CREEK	41.32747	-74.115306
20301030201	Upper Ramapo River	2223570	MILL POND	41.32826	-74.189383
20200070206	Rutgers Creek	3344850	RUTGERS CREEK	41.331182	-74.586576
20200070206	Rutgers Creek	3344880	RUTGERS CREEK	41.331163	-74.557178
20301010101	Peekskill Hollow Creek	2265850	PARK LK SPILLWAY	41.327616	-73.886112
20301010302	Plum River-Croton River	1037090	CROTON RIVER	41.326766	-73.662556
20301010301	Titicus River	1037480	TITICUS RIVER	41.325906	-73.590521
20301010101	Peekskill Hollow Creek	2265539	TRIB BARGER BROOK	41.328648	-73.801842
20301010301	Titicus River	1017370	TITICUS RIVER	41.327409	-73.655851
20301010101	Peekskill Hollow Creek	1077730	SHRUB OAK CREEK	41.329908	-73.817959
20301010301	Titicus River	1037440	TITICUS RIVER	41.327717	-73.580652
20301010101	Peekskill Hollow Creek	2262470	SHRUB OAK LAKE	41.331029	-73.839556
20301010301	Titicus River	2265350	TITICUS CREEK	41.328536	-73.599307
20200080405	Woodbury Creek	3345410	WOODBURY CREEK	41.333862	-74.118327
20200070206	Rutgers Creek	3344770	RUTGERS CREEK	41.336641	-74.487942
20200070206	Rutgers Creek	3344660	RUTGERS CREEK	41.337541	-74.601714
20200070204	Quaker Creek	2262130	MILLERS CREEK	41.336908	-74.361256
20301010305	Muscoot River	3364860	MUSCOOT RIVER	41.332773	-73.764847
20301010101	Peekskill Hollow Creek	2262450	SHRUB OAK BROOK	41.333855	-73.842864
20200070204	Quaker Creek	3360150	QUAKER CREEK	41.338767	-74.371607
20301010101	Peekskill Hollow Creek	2262460	PEEKSKILL HOLL CK	41.334663	-73.842615
20301010101	Peekskill Hollow Creek	3345650	PEEKSKILL HOLL CK	41.336327	-73.865049
20200070206	Rutgers Creek	3364810	RUTGERS CREEK	41.341158	-74.543608
20301010101	Peekskill Hollow Creek	3224000	LAKE PEEKS OUTLET	41.337014	-73.879976
20301010102	Annsville Creek	3345690	CANOPUS CREEK	41.337519	-73.904348
20301010301	Titicus River	2262480	TITICUS RIVER	41.334594	-73.570499
20301010301	Titicus River	1037130	TITICUS RIVER	41.334872	-73.558061
20301010301	Titicus River	2262490	TITICUS RIVER	41.335182	-73.552817
20301010305	Muscoot River	1003450	MUSCOOT RIVER	41.338132	-73.768929
20200070206	Rutgers Creek	3344760	RUTGERS CREEK	41.344114	-74.487286
20200080405	Woodbury Creek	1091570	CROMWELL CREEK	41.343829	-74.137914
20200080405	Woodbury Creek	3345420	WOODBURY CREEK	41.344602	-74.12105
20200080404	Satterly Creek-Moodna Creek	1003290	ORANGE-RKLND LAKE	41.345847	-74.192632
20200080404	Satterly Creek-Moodna Creek	1003280	ORANGE-RKLND LAKE	41.346309	-74.19418
20200070206	Rutgers Creek	3344830	RUTGERS CREEK	41.351411	-74.529666
20200080403	Cromline Creek	1014590	SEELY BROOK	41.350501	-74.241107
20401040308	Lower Neversink River	2223180	CLOVE BROOK	41.35275	-74.684106
20200080504	Popolopen Creek	1045080	MINE LAKE INLET	41.349398	-74.047129
20401040308	Lower Neversink River	1091249	CLOVE BROOK	41.353283	-74.683984
20200070206	Rutgers Creek	3344640	WILLOW LAKE OUTLT	41.353002	-74.567789
20200080403	Cromline Creek	1003240	SEELY BROOK	41.352316	-74.243237
20301010206	West Branch Croton River	1036180	W BR CROTON RIVER	41.348711	-73.667486
20200080401	Black Meadow Creek	1077600	BLACK MEADOW CRK	41.354418	-74.290314
20401040308	Lower Neversink River	1003070	CLOVE BROOK	41.356526	-74.681697
20401040308	Lower Neversink River	1052401	DELAWARE RIVER	41.357279	-74.693529
20401040308	Lower Neversink River	2003060	CLOVE BROOK	41.357532	-74.682606
20301010204	Lower East Branch Croton River	3348580	CROTON RIVER	41.350661	-73.664697
20301010101	Peekskill Hollow Creek	3345670	PEEKSKILL HOL CK	41.353661	-73.841916
20401040308	Lower Neversink River	3344470	MILL BROOK	41.359419	-74.685508
20200080403	Cromline Creek	3344240	SEELY BROOK	41.35745	-74.25416
20301010206	West Branch Croton River	3348590	CROTON RIVER	41.352265	-73.671
20200080401	Black Meadow Creek	1034820	BLACK MEADOW CRK	41.357764	-74.287125
20301010204	Lower East Branch Croton River	1036190	EAST BR CROTON R1	41.352269	-73.663588
20200070206	Rutgers Creek	3344860	RUTGERS CREEK	41.360166	-74.491464
20401040308	Lower Neversink River	2003050	NEVERSINK RIVER	41.361276	-74.685427
20301010206	West Branch Croton River	3345570	W BRANCH CROTON R	41.35545	-73.671174
20200070206	Rutgers Creek	3344650	RUTGERS CREEK	41.362461	-74.592834
20200080405	Woodbury Creek	3345390	MINERAL SPRING BK	41.361176	-74.086275
20200070206	Rutgers Creek	3344740	RUTGERS CREEK	41.363917	-74.504707
20200070204	Quaker Creek	3344620	MC KNIGHT DITCH	41.363322	-74.365182
20301010206	West Branch Croton River	2262510	CRTN FL RES SPLWY	41.357827	-73.666401
20200080405	Woodbury Creek	1022210	WOODBURY CREEK	41.363574	-74.104893
20200080401	Black Meadow Creek	1014570	BLACK MEADOW CRK	41.365909	-74.288746
20200070206	Rutgers Creek	1044500	RUTGERS CREEK	41.367124	-74.496312
20200070206	Rutgers Creek	3345380	CATLIN CREEK	41.37035	-74.492581
20200070205	Indigot Creek	3344800	INDIGOT CREEK	41.370933	-74.523546
20401040505	Shingle Kill-Delaware River	5223060	DELAWARE RIVER	41.372417	-74.696468
20200080405	Woodbury Creek	3345400	MINERAL SPRING BK	41.36937	-74.085922
20301010102	Annsville Creek	2223980	CANOPUS CREEK	41.36808	-73.878965
20200080505	Foundry Brook-Hudson River	1041430	HIGHLAND BROOK	41.369277	-73.968384
20200080401	Black Meadow Creek	3344260	BLACK MEADOW CRK	41.37185	-74.283428
20200070205	Indigot Creek	3344790	INDIGOT CREEK	41.373421	-74.515397
20200070205	Indigot Creek	3344780	INDIGOT CREEK	41.373557	-74.527238
20200080505	Foundry Brook-Hudson River	2269180	HIGHLAND BROOK	41.370129	-73.96299
20200080505	Foundry Brook-Hudson River	2262040	HIGHLAND BROOK	41.37029	-73.970879
20200070205	Indigot Creek	3344750	INDIGOT CREEK	41.373952	-74.51324
20200080405	Woodbury Creek	1022230	TRIB WOODBURY CRK	41.374171	-74.100802
20200080405	Woodbury Creek	5514299	WOODBURY CREEK	41.374366	-74.102712
20401040308	Lower Neversink River	2223690	COLD CREEK	41.377955	-74.678244
20200070401	Masonic Creek-Wallkill River	3344580	WALLKILL RIVER	41.380846	-74.413002
20301010204	Lower East Branch Croton River	2224080	E BR CROTON RIVER	41.374488	-73.638381
20301010101	Peekskill Hollow Creek	3345640	PEEKSKLL HOLLW CK	41.37725	-73.828172
20401040308	Lower Neversink River	3344550	CLARKS POND OUTLT	41.38282	-74.647842
20200080404	Satterly Creek-Moodna Creek	3360210	TRIB SLATTERY CRK	41.380479	-74.173308
20301010102	Annsville Creek	2223990	CANOPUS CREEK	41.378737	-73.872683
20200070205	Indigot Creek	3345330	INDIGOT CREEK TRI	41.383634	-74.523693
20200070205	Indigot Creek	1003090	TRB INDIGOT CREEK	41.384266	-74.523928
20200070205	Indigot Creek	1003100	INDIGO CREEK	41.385127	-74.519855
20200080403	Cromline Creek	3344160	CROMLINE CREEK	41.384253	-74.237126
20200080403	Cromline Creek	1034850	CROMLINE CREEK	41.384582	-74.232458
20200080403	Cromline Creek	3344120	CROMLINE CREEK	41.384561	-74.229349
20301010102	Annsville Creek	2223940	CANOPUS CREEK	41.384154	-73.873905
20200080505	Foundry Brook-Hudson River	1006290	PHILLIPSE BROOK	41.385591	-73.934819
20200070206	Rutgers Creek	1003120	CATLIN CREEK	41.390963	-74.469455
20200070206	Rutgers Creek	1003110	JOE CREEK	41.391454	-74.478302
20200070205	Indigot Creek	3345320	INDIGOT CREEK	41.392236	-74.517291
20200080403	Cromline Creek	3344180	CROMLINE CREEK	41.390746	-74.238246
20301010101	Peekskill Hollow Creek	2223930	PEEKSKLL HOLLW CK	41.388583	-73.81271
20301010205	Middle Branch Croton River	3345540	MIDDLE BR CROTN R	41.38732	-73.649236
20301010206	West Branch Croton River	3345550	W BRANCH CROTON R	41.388074	-73.683188
20301010206	West Branch Croton River	3345560	W BRANCH CROTON R	41.388204	-73.67884
20301010204	Lower East Branch Croton River	1050020	E BR CROTON RIVER	41.389757	-73.619269
20200080402	Otter Kill	3344600	OTTER KILL	41.39769	-74.293154
20200080404	Satterly Creek-Moodna Creek	3344170	SATTERLY CREEK	41.397684	-74.186009
20200080403	Cromline Creek	3344200	TOMAHAWK LAKE	41.399164	-74.23097
20200080404	Satterly Creek-Moodna Creek	3344220	PERRY CREEK	41.398678	-74.149032
20301010204	Lower East Branch Croton River	1003520	E BR CROTON RIVER	41.394654	-73.607099
20200070401	Masonic Creek-Wallkill River	1003130	WALLKILL RIVER	41.402053	-74.389628
20200070205	Indigot Creek	1052442	INDIGOT CREEK	41.40347	-74.511954
20200070205	Indigot Creek	1052441	INDIGOT CREEK	41.40448	-74.511457
20200080405	Woodbury Creek	3344290	WOODBURY CREEK	41.402102	-74.079003
20401040308	Lower Neversink River	3344540	NEVERSINK RIVER	41.406648	-74.634313
20401040505	Shingle Kill-Delaware River	1035330	SHINGLE KILL	41.407733	-74.73433
20301010204	Lower East Branch Croton River	1016672	E BR CROTON RIVER	41.399775	-73.591199
20200080405	Woodbury Creek	2223120	WOODBURY CREEK	41.404885	-74.077887
20200080404	Satterly Creek-Moodna Creek	3364820	SATTERLY CREEK	41.406981	-74.188765
20301010204	Lower East Branch Croton River	2224030	E BR CROTON RIVER	41.401674	-73.591876
20401040505	Shingle Kill-Delaware River	1024960	SHINGLE KILL	41.412136	-74.729632
20200080406	Silver Stream-Moodna Creek	5514319	MOODNA CREEK	41.409292	-74.077107
20200080406	Silver Stream-Moodna Creek	3344330	MOODNA CREEK	41.409264	-74.073518
20200070205	Indigot Creek	2265610	TRB INDIGOT CREEK	41.412403	-74.505145
20200070401	Masonic Creek-Wallkill River	3344570	CHEECHUNK CREEK	41.411839	-74.375359
20200070205	Indigot Creek	3360160	INDIGOT CREEK	41.412572	-74.511038
20200070401	Masonic Creek-Wallkill River	3344610	WALLKILL RIVER	41.412031	-74.377631
20301010101	Peekskill Hollow Creek	5502319	PEEKSKLL HOLLW CK	41.408218	-73.78675
20200080404	Satterly Creek-Moodna Creek	2223070	PERRY CREEK	41.412215	-74.160386
20301010206	West Branch Croton River	3369680	W BR CROTON RIVER	41.408062	-73.690322
20200070301	Headwaters Shawangunk Kill	3344630	SHAWANGUNK KILL	41.416825	-74.568153
20200080404	Satterly Creek-Moodna Creek	2223080	PERRY CREEK	41.415063	-74.160545
20200080403	Cromline Creek	3344130	CROMLINE CREEK	41.415974	-74.212584
20301010206	West Branch Croton River	1003460	W BR CROTON RIVER	41.411789	-73.692357
20301010204	Lower East Branch Croton River	3345510	E BRANCH CROTON R	41.410283	-73.561899
20200080404	Satterly Creek-Moodna Creek	3344210	SATTERLY CREEK	41.416854	-74.171171
20200080404	Satterly Creek-Moodna Creek	1034880	MOODNA CREEK	41.419495	-74.175087
20200080505	Foundry Brook-Hudson River	1006310	FOUNDRY BROOK	41.418794	-73.945942
20200070401	Masonic Creek-Wallkill River	3345370	MONHAGEN BROOK	41.422742	-74.42767
20301010205	Middle Branch Croton River	1003490	MIDDLE BRANCH RES	41.416474	-73.646718
20200080406	Silver Stream-Moodna Creek	1007209	BLACK FOREST CRK	41.420416	-74.027767
20200070401	Masonic Creek-Wallkill River	1052511	MONHAGEN CREEK	41.423213	-74.400832
20200070401	Masonic Creek-Wallkill River	3345350	MONHAGEN BROOK	41.423215	-74.380276
20200070401	Masonic Creek-Wallkill River	3345360	MONHAGEN BROOK	41.425038	-74.384408
20401040107	Rio Reservoir-Mongaup River	1035340	MONGAUP RIVER	41.426786	-74.755794
20200080404	Satterly Creek-Moodna Creek	2223580	MOODNA CREEK	41.424009	-74.151813
20200080402	Otter Kill	3344670	OTTER KILL	41.42535	-74.28272
20200080406	Silver Stream-Moodna Creek	3344310	MOODNA CREEK	41.42595	-74.087642
20200080404	Satterly Creek-Moodna Creek	1040550	MOODNA CREEK	41.426733	-74.167096
20200080403	Cromline Creek	3344190	CROMLINE CREEK	41.430668	-74.201268
20401040505	Shingle Kill-Delaware River	3344520	SHINGLE KILL	41.433358	-74.715075
20200080406	Silver Stream-Moodna Creek	3344140	MOODNA CREEK	41.430341	-74.119357
20301010205	Middle Branch Croton River	2224050	MIDDLE BR CROTN R	41.426651	-73.646626
20200080406	Silver Stream-Moodna Creek	1034890	TRIB MOODNA CREEK	41.431478	-74.126702
20200080402	Otter Kill	1040560	OTTER KILL	41.432633	-74.198858
20200080406	Silver Stream-Moodna Creek	1022240	MOODNA CREEK	41.432976	-74.054194
20200080406	Silver Stream-Moodna Creek	3344280	IDLEWILD CREEK	41.434083	-74.035582
20401040503	Mill Brook	1035350	MILL BROOK	41.438977	-74.821465
20200070401	Masonic Creek-Wallkill River	3345110	MASONIC CREEK	41.437586	-74.372838
20200080406	Silver Stream-Moodna Creek	2223110	IDLEWILD CREEK	41.435691	-74.034002
20200070402	Mannayunk Kill-Wallkill River	2223420	WALLKILL RIVER	41.438897	-74.365424
20401040503	Mill Brook	3356850	MILL CREEK	41.44078	-74.822417
20200080406	Silver Stream-Moodna Creek	3344300	IDLEWILD CREEK	41.436853	-74.033027
20200070402	Mannayunk Kill-Wallkill River	1013980	WALLKILL RIVER	41.43986	-74.360487
20401040308	Lower Neversink River	3364830	NEVERSINK RIVER	41.441137	-74.601668
20200070402	Mannayunk Kill-Wallkill River	3345140	TRIB WALLKILL RIV	41.440167	-74.364304
20200070301	Headwaters Shawangunk Kill	3344960	SHAWANGUNK KILL	41.441285	-74.529855
20301010205	Middle Branch Croton River	3345590	MID BR CROTON RVR	41.434391	-73.653766
20200070401	Masonic Creek-Wallkill River	1052539	MASONIC CREEK	41.441211	-74.376753
20200080305	Clove Creek	1045280	CLOVE CREEK	41.43822	-73.900368
20200080305	Clove Creek	1045290	CLOVE CREEK	41.439476	-73.896202
20200070401	Masonic Creek-Wallkill River	3345130	MASONIC CREEK	41.444518	-74.381189
20200080406	Silver Stream-Moodna Creek	3345430	IDLEWILD CREEK	41.443033	-74.028866
20301010206	West Branch Croton River	2223810	W BR CROTON RIVER	41.440659	-73.727096
20401040505	Shingle Kill-Delaware River	3344510	SHINGLE KILL	41.447578	-74.710224
20200080503	Breakneck Brook-Hudson River	2262060	DOCK HILL CREEK	41.443961	-74.000481
20200080406	Silver Stream-Moodna Creek	1041440	IDLEWILD CREEK	41.445443	-74.026196
20200080402	Otter Kill	3344700	OTTER KILL	41.44798	-74.271697
20301010206	West Branch Croton River	1045320	W BR.CROTON RIVER	41.447352	-73.73215
20401040203	Basher Kill	3344490	BASHER KILL	41.453876	-74.58927
20200080402	Otter Kill	1040480	OTTERKILL CREEK	41.453465	-74.25619
20301010203	Middle East Branch Croton River	3345500	E BRANCH CROTON R	41.447352	-73.556411
20401040307	Middle Neversink River	1040660	NEVERSINK RIVER	41.455771	-74.600465
20200080406	Silver Stream-Moodna Creek	3344320	IDLEWILD CREEK	41.452695	-74.021059
20200070401	Masonic Creek-Wallkill River	1040959	MASONIC CREEK	41.455577	-74.384997
20200080402	Otter Kill	1040490	OTTERKILL	41.456393	-74.208983
20301010205	Middle Branch Croton River	3368420	M.BR.CROTON RIVER	41.451281	-73.657727
20200070402	Mannayunk Kill-Wallkill River	3345120	TRIB WALLKILL RIV	41.457416	-74.326912
20200070402	Mannayunk Kill-Wallkill River	3344690	WALLKILL RIVER	41.457346	-74.300448
20200080406	Silver Stream-Moodna Creek	3345020	MOODNA CREEK	41.456816	-74.039795
20301010205	Middle Branch Croton River	3345610	LK CARMEL OUTLET	41.455095	-73.661136
20401040203	Basher Kill	1040900	BASHER KILL	41.462329	-74.585504
20200080406	Silver Stream-Moodna Creek	1007260	MOODNA CREEK	41.459273	-74.023391
20200080305	Clove Creek	3345710	CLOVE CREEK	41.458547	-73.920034
20200080402	Otter Kill	3344710	OTTER KILL	41.46149	-74.229995
20401040107	Rio Reservoir-Mongaup River	1024970	BUSH KILL	41.467532	-74.729415
20200070402	Mannayunk Kill-Wallkill River	2270090	HARVEY ROE BROOK	41.466944	-74.328726
20200070402	Mannayunk Kill-Wallkill River	1040970	UNNAMED STREAM	41.469787	-74.332648
20401040504	Twin Lakes Creek-Delaware River	5228720	DELAWARE RIVER	41.476025	-74.912344
20401040502	Halfway Brook	1035360	HALFWAY BROOK	41.477093	-74.91035
20301010206	West Branch Croton River	1045310	W BR CROTON RIVER	41.470474	-73.76012
20401040502	Halfway Brook	3356690	HALFWAY BROOK	41.477633	-74.91023
20401040107	Rio Reservoir-Mongaup River	2265600	RIO DAM SPILLWAY	41.47948	-74.755357
20301010205	Middle Branch Croton River	1045590	MIDDLE BR CROTON	41.472041	-73.653706
